Python_Pit_Risk_Level,Rolling_3Lap_Degradation,LapTime_ZScore,Outlier_Lap_Flag,Clean_Lap_For_Model,Year,RoundNumber,EventName,Driver_Code,LapNumber,Stint,Tire_Compound,LapTime_Seconds,Degradation_Sec,Lap_ID
High Risk,8.653000000,2.919473915,Outlier,Exclude: Statistical Outlier,2025,1,Australian Grand Prix,ALB,8,4,INTERMEDIATE,98.281,8.653000000,2025_1_ALB_8
High Risk,7.6625,1.934441857,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,9,4,INTERMEDIATE,96.3,6.672,2025_1_ALB_9
High Risk,6.730333333,1.036426765,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,10,4,INTERMEDIATE,94.494,4.866,2025_1_ALB_10
High Risk,5.372,0.893221700,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,11,4,INTERMEDIATE,94.206,4.578,2025_1_ALB_11
High Risk,4.509666667,0.648082475,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,12,4,INTERMEDIATE,93.713,4.085000000,2025_1_ALB_12
High Risk,4.062666667,0.369628183,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,13,4,INTERMEDIATE,93.153,3.525000000,2025_1_ALB_13
High Risk,3.566333333,0.152831627,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,14,4,INTERMEDIATE,92.717,3.089,2025_1_ALB_14
High Risk,3.239666667,0.160787464,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,15,4,INTERMEDIATE,92.733,3.105,2025_1_ALB_15
High Risk,3.01,0.027029956,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,16,4,INTERMEDIATE,92.464,2.836,2025_1_ALB_16
High Risk,3.133666667,0.337307596,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,17,4,INTERMEDIATE,93.088,3.460000000,2025_1_ALB_17
High Risk,3.216333333,0.284102936,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,18,4,INTERMEDIATE,92.981,3.353000000,2025_1_ALB_18
High Risk,3.412000000,0.318909723,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,19,4,INTERMEDIATE,93.051,3.423,2025_1_ALB_19
High Risk,3.168000000,-0.026671943,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,20,4,INTERMEDIATE,92.356,2.728000000,2025_1_ALB_20
High Risk,2.853,-0.185788682,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,21,4,INTERMEDIATE,92.036,2.408,2025_1_ALB_21
High Risk,2.520333333,-0.177335605,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,22,4,INTERMEDIATE,92.053,2.425,2025_1_ALB_22
High Risk,2.318333333,-0.327999266,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,23,4,INTERMEDIATE,91.75,2.122,2025_1_ALB_23
High Risk,2.262333333,-0.269324969,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,24,4,INTERMEDIATE,91.868,2.240000000,2025_1_ALB_24
High Risk,1.916,-0.693967765,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,25,4,INTERMEDIATE,91.014,1.386,2025_1_ALB_25
High Risk,1.769,-0.547282021,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,26,4,INTERMEDIATE,91.309,1.681,2025_1_ALB_26
Medium Risk,1.297,-0.973416536,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,27,4,INTERMEDIATE,90.452,0.824,2025_1_ALB_27
Medium Risk,1.069666667,-1.033085313,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,28,4,INTERMEDIATE,90.332,0.704000000,2025_1_ALB_28
Low Risk,0.641000000,-1.186732414,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,29,4,INTERMEDIATE,90.023,0.395,2025_1_ALB_29
Low Risk,0.366333333,-1.383142137,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,30,4,INTERMEDIATE,89.628,0,2025_1_ALB_30
Low Risk,0.273333333,-1.171815219,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,31,4,INTERMEDIATE,90.053,0.425,2025_1_ALB_31
Low Risk,0.327666667,-1.105682325,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,32,4,INTERMEDIATE,90.186,0.558000000,2025_1_ALB_32
High Risk,2.53,0.707106781,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,42,5,MEDIUM,87.127,2.53,2025_1_ALB_42
Medium Risk,1.265,-0.707106781,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,43,5,MEDIUM,84.597,0,2025_1_ALB_43
High Risk,2.851,0.679570319,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,46,6,INTERMEDIATE,92.795,2.851,2025_1_ALB_46
High Risk,3.951500000,1.879311341,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,52,6,INTERMEDIATE,94.996,5.052000000,2025_1_ALB_52
High Risk,3.292,0.200982124,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,53,6,INTERMEDIATE,91.917,1.973,2025_1_ALB_53
High Risk,2.556,-0.523986327,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,54,6,INTERMEDIATE,90.587,0.643,2025_1_ALB_54
Low Risk,0.991,-0.679881798,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,55,6,INTERMEDIATE,90.301,0.357,2025_1_ALB_55
Low Risk,0.451333333,-0.681517065,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,56,6,INTERMEDIATE,90.298,0.354,2025_1_ALB_56
Low Risk,0.237,-0.874478593,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALB,57,6,INTERMEDIATE,89.944,0,2025_1_ALB_57
High Risk,9.535,2.582973190,Outlier,Exclude: Statistical Outlier,2025,1,Australian Grand Prix,ALO,8,4,INTERMEDIATE,98.354,9.535,2025_1_ALO_8
High Risk,8.491500000,1.661756540,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,9,4,INTERMEDIATE,96.267,7.448000000,2025_1_ALO_9
High Risk,7.911,1.353654373,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,10,4,INTERMEDIATE,95.569,6.75,2025_1_ALO_10
High Risk,6.893000000,1.234915859,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,11,4,INTERMEDIATE,95.3,6.481000000,2025_1_ALO_11
High Risk,6.162666667,0.694633550,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,12,4,INTERMEDIATE,94.076,5.257000000,2025_1_ALO_12
High Risk,5.478000000,0.447004158,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,13,4,INTERMEDIATE,93.515,4.696,2025_1_ALO_13
High Risk,4.599333333,0.071366702,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,14,4,INTERMEDIATE,92.664,3.845,2025_1_ALO_14
High Risk,4.015333333,-0.078711717,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,15,4,INTERMEDIATE,92.324,3.505,2025_1_ALO_15
High Risk,3.684,0.008245485,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,16,4,INTERMEDIATE,92.521,3.702,2025_1_ALO_16
High Risk,3.784666667,0.204671651,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,17,4,INTERMEDIATE,92.966,4.147000000,2025_1_ALO_17
High Risk,3.909333333,0.086374544,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,18,4,INTERMEDIATE,92.698,3.879000000,2025_1_ALO_18
High Risk,3.829000000,-0.098133630,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,19,4,INTERMEDIATE,92.28,3.461,2025_1_ALO_19
High Risk,3.710333333,0.047530718,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,20,4,INTERMEDIATE,92.61,3.791,2025_1_ALO_20
High Risk,3.659333333,0.018839256,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,21,4,INTERMEDIATE,92.545,3.726,2025_1_ALO_21
High Risk,3.993333333,0.344156300,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,22,4,INTERMEDIATE,93.282,4.463000000,2025_1_ALO_22
High Risk,3.96,0.003390007,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,23,4,INTERMEDIATE,92.51,3.691,2025_1_ALO_23
High Risk,3.666666667,-0.369599006,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,24,4,INTERMEDIATE,91.665,2.846,2025_1_ALO_24
High Risk,3.159666667,-0.327223923,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,25,4,INTERMEDIATE,91.761,2.942000000,2025_1_ALO_25
High Risk,2.770666667,-0.511732097,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,26,4,INTERMEDIATE,91.343,2.524,2025_1_ALO_26
High Risk,2.514000000,-0.709482485,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,27,4,INTERMEDIATE,90.895,2.076000000,2025_1_ALO_27
High Risk,2.144333333,-0.816744414,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,28,4,INTERMEDIATE,90.652,1.833,2025_1_ALO_28
High Risk,1.602666667,-1.229018660,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,29,4,INTERMEDIATE,89.718,0.899,2025_1_ALO_29
Medium Risk,1.095666667,-1.380862708,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,30,4,INTERMEDIATE,89.374,0.555000000,2025_1_ALO_30
Low Risk,0.495000000,-1.612160036,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,31,4,INTERMEDIATE,88.85,0.031000000,2025_1_ALO_31
Low Risk,0.195333333,-1.625843657,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ALO,32,4,INTERMEDIATE,88.819,0,2025_1_ALO_32
High Risk,9.697,2.447205172,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,8,4,INTERMEDIATE,98.729,9.697,2025_1_ANT_8
High Risk,8.4885,1.504207726,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,9,4,INTERMEDIATE,96.312,7.28,2025_1_ANT_9
High Risk,7.738333333,1.097669315,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,10,4,INTERMEDIATE,95.27,6.238,2025_1_ANT_10
High Risk,6.388,0.866699316,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,11,4,INTERMEDIATE,94.678,5.646,2025_1_ANT_11
High Risk,6.079,1.142536798,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,12,4,INTERMEDIATE,95.385,6.353000000,2025_1_ANT_12
High Risk,5.554666667,0.483960179,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,13,4,INTERMEDIATE,93.697,4.665000000,2025_1_ANT_13
High Risk,5.262666667,0.524926141,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,14,4,INTERMEDIATE,93.802,4.770000000,2025_1_ANT_14
High Risk,4.205000000,-0.095415579,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,15,4,INTERMEDIATE,92.212,3.180000000,2025_1_ANT_15
High Risk,5.414666667,1.899821880,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,16,4,INTERMEDIATE,97.326,8.294,2025_1_ANT_16
High Risk,4.918,-0.056400377,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,17,4,INTERMEDIATE,92.312,3.28,2025_1_ANT_17
High Risk,4.907666667,-0.107510292,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,18,4,INTERMEDIATE,92.181,3.149,2025_1_ANT_18
High Risk,3.113,-0.200756626,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,19,4,INTERMEDIATE,91.942,2.91,2025_1_ANT_19
High Risk,2.782,-0.443821338,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,20,4,INTERMEDIATE,91.319,2.287000000,2025_1_ANT_20
High Risk,2.402333333,-0.551893449,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,21,4,INTERMEDIATE,91.042,2.010000000,2025_1_ANT_21
High Risk,2.384000000,-0.222214988,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,22,4,INTERMEDIATE,91.887,2.855,2025_1_ANT_22
High Risk,2.385666667,-0.441870578,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,23,4,INTERMEDIATE,91.324,2.292,2025_1_ANT_23
High Risk,2.312333333,-0.637726895,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,24,4,INTERMEDIATE,90.822,1.790000000,2025_1_ANT_24
High Risk,1.918666667,-0.682984530,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,25,4,INTERMEDIATE,90.706,1.674000000,2025_1_ANT_25
High Risk,1.910333333,-0.451624379,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,26,4,INTERMEDIATE,91.299,2.267000000,2025_1_ANT_26
High Risk,1.790666667,-0.777791472,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,27,4,INTERMEDIATE,90.463,1.431,2025_1_ANT_27
High Risk,1.794,-0.679083010,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,28,4,INTERMEDIATE,90.716,1.684,2025_1_ANT_28
Medium Risk,1.334,-0.990034174,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,29,4,INTERMEDIATE,89.919,0.887,2025_1_ANT_29
Medium Risk,1.111,-1.038803177,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,30,4,INTERMEDIATE,89.794,0.762,2025_1_ANT_30
Low Risk,0.620666667,-1.252996639,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,31,4,INTERMEDIATE,89.245,0.213000000,2025_1_ANT_31
Low Risk,0.325000000,-1.336099021,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,32,4,INTERMEDIATE,89.032,0,2025_1_ANT_32
High Risk,2.604,0.707106781,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,42,5,HARD,87.505,2.604,2025_1_ANT_42
Medium Risk,1.302,-0.707106781,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,43,5,HARD,84.901,0,2025_1_ANT_43
High Risk,2.631,0.019941528,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,46,6,INTERMEDIATE,90.78,2.631,2025_1_ANT_46
High Risk,4.745000000,1.917656794,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,52,6,INTERMEDIATE,95.008,6.859000000,2025_1_ANT_52
High Risk,4.246333333,0.297327534,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,53,6,INTERMEDIATE,91.398,3.249,2025_1_ANT_53
High Risk,4.173666667,-0.077906611,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,54,6,INTERMEDIATE,90.562,2.413,2025_1_ANT_54
High Risk,2.705,-0.059952824,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,55,6,INTERMEDIATE,90.602,2.453,2025_1_ANT_55
High Risk,1.622,-1.160968801,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,56,6,INTERMEDIATE,88.149,0,2025_1_ANT_56
Low Risk,0.984666667,-0.936097621,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,ANT,57,6,INTERMEDIATE,88.65,0.501,2025_1_ANT_57
High Risk,10.797,3.388563548,Outlier,Exclude: Statistical Outlier,2025,1,Australian Grand Prix,BEA,8,4,INTERMEDIATE,102.054,10.797,2025_1_BEA_8
High Risk,9.052,1.890634581,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,9,4,INTERMEDIATE,98.564,7.307000000,2025_1_BEA_9
High Risk,7.752666667,0.966554046,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,10,4,INTERMEDIATE,96.411,5.154,2025_1_BEA_10
High Risk,5.540000000,0.539494068,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,11,4,INTERMEDIATE,95.416,4.159000000,2025_1_BEA_11
High Risk,4.352666667,0.361802781,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,12,4,INTERMEDIATE,95.002,3.745000000,2025_1_BEA_12
High Risk,3.632333333,0.039039863,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,13,4,INTERMEDIATE,94.25,2.993000000,2025_1_BEA_13
High Risk,3.071000000,-0.183288849,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,14,4,INTERMEDIATE,93.732,2.475000000,2025_1_BEA_14
High Risk,2.698666667,-0.117620330,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,15,4,INTERMEDIATE,93.885,2.628,2025_1_BEA_15
High Risk,2.413666667,-0.327931273,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,16,4,INTERMEDIATE,93.395,2.138000000,2025_1_BEA_16
High Risk,2.678666667,0.157929927,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,17,4,INTERMEDIATE,94.527,3.27,2025_1_BEA_17
High Risk,2.892666667,0.157929927,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,18,4,INTERMEDIATE,94.527,3.27,2025_1_BEA_18
High Risk,3.116,-0.040363248,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,19,4,INTERMEDIATE,94.065,2.808000000,2025_1_BEA_19
High Risk,2.971666667,-0.027916274,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,20,4,INTERMEDIATE,94.094,2.837000000,2025_1_BEA_20
High Risk,2.735333333,-0.146377132,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,21,4,INTERMEDIATE,93.818,2.561000000,2025_1_BEA_21
High Risk,2.577000000,-0.244236102,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,22,4,INTERMEDIATE,93.59,2.333,2025_1_BEA_22
High Risk,2.326333333,-0.350679192,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,23,4,INTERMEDIATE,93.342,2.085000000,2025_1_BEA_23
High Risk,2.067666667,-0.479440994,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,24,4,INTERMEDIATE,93.042,1.785,2025_1_BEA_24
High Risk,1.742000000,-0.663570372,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,25,4,INTERMEDIATE,92.613,1.356000000,2025_1_BEA_25
Medium Risk,1.487000000,-0.679021788,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,26,4,INTERMEDIATE,92.577,1.320000000,2025_1_BEA_26
Medium Risk,1.308666667,-0.709066208,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,27,4,INTERMEDIATE,92.507,1.25,2025_1_BEA_27
High Risk,1.939333333,0.148487395,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,28,4,INTERMEDIATE,94.505,3.248000000,2025_1_BEA_28
High Risk,1.502666667,-1.241281658,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,29,4,INTERMEDIATE,91.267,0.010000000,2025_1_BEA_29
Medium Risk,1.126000000,-1.194068997,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,30,4,INTERMEDIATE,91.377,0.120000000,2025_1_BEA_30
Low Risk,0.043333333,-1.245573718,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,31,4,INTERMEDIATE,91.257,0,2025_1_BEA_31
High Risk,3.032,1.860412988,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,52,6,INTERMEDIATE,93.258,3.032,2025_1_BEA_52
High Risk,2.086,0.153242328,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,53,6,INTERMEDIATE,91.366,1.14,2025_1_BEA_53
Medium Risk,1.478666667,-0.637181297,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,54,6,INTERMEDIATE,90.49,0.264,2025_1_BEA_54
Low Risk,0.820666667,0.079252902,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,55,6,INTERMEDIATE,91.284,1.058000000,2025_1_BEA_55
Low Risk,0.440666667,-0.875391157,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,56,6,INTERMEDIATE,90.226,0,2025_1_BEA_56
Low Risk,0.461666667,-0.580335763,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BEA,57,6,INTERMEDIATE,90.553,0.327,2025_1_BEA_57
High Risk,10.435,3.113779243,Outlier,Exclude: Statistical Outlier,2025,1,Australian Grand Prix,BOR,8,4,INTERMEDIATE,100.265,10.435,2025_1_BOR_8
High Risk,8.634,1.491812835,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,9,4,INTERMEDIATE,96.663,6.833,2025_1_BOR_9
High Risk,7.687666667,1.024405525,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,10,4,INTERMEDIATE,95.625,5.795,2025_1_BOR_10
High Risk,5.817666667,0.587618347,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,11,4,INTERMEDIATE,94.655,4.825,2025_1_BOR_11
High Risk,5.057333333,0.464687522,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,12,4,INTERMEDIATE,94.382,4.552000000,2025_1_BOR_12
High Risk,4.643333333,0.465137818,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,13,4,INTERMEDIATE,94.383,4.553,2025_1_BOR_13
High Risk,4.459000000,0.338604625,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,14,4,INTERMEDIATE,94.102,4.272000000,2025_1_BOR_14
High Risk,4.229,0.153983241,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,15,4,INTERMEDIATE,93.692,3.862000000,2025_1_BOR_15
High Risk,4.138333333,0.342657290,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,16,4,INTERMEDIATE,94.111,4.281000000,2025_1_BOR_16
High Risk,4.356333333,0.633098249,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,17,4,INTERMEDIATE,94.756,4.926,2025_1_BOR_17
High Risk,4.423,0.244042453,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,18,4,INTERMEDIATE,93.892,4.062,2025_1_BOR_18
High Risk,4.354666667,0.250346598,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,19,4,INTERMEDIATE,93.906,4.076000000,2025_1_BOR_19
High Risk,3.878666667,-0.009924525,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,20,4,INTERMEDIATE,93.328,3.498,2025_1_BOR_20
High Risk,3.698,-1.801184241e-05,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,21,4,INTERMEDIATE,93.35,3.52,2025_1_BOR_21
High Risk,3.307333333,-0.277400385,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,22,4,INTERMEDIATE,92.734,2.904,2025_1_BOR_22
High Risk,3.186666667,-0.172931699,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,23,4,INTERMEDIATE,92.966,3.136,2025_1_BOR_23
High Risk,2.859666667,-0.441758447,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,24,4,INTERMEDIATE,92.369,2.539,2025_1_BOR_24
High Risk,2.693333333,-0.502098119,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,25,4,INTERMEDIATE,92.235,2.405,2025_1_BOR_25
High Risk,2.179666667,-0.866837927,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,26,4,INTERMEDIATE,91.425,1.595,2025_1_BOR_26
High Risk,1.858666667,-0.875393553,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,27,4,INTERMEDIATE,91.406,1.576000000,2025_1_BOR_27
Medium Risk,1.365333333,-1.168536288,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,28,4,INTERMEDIATE,90.755,0.925,2025_1_BOR_28
Medium Risk,1.333333333,-0.910066349,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,29,4,INTERMEDIATE,91.329,1.499,2025_1_BOR_29
Medium Risk,1.246666667,-0.992470528,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,30,4,INTERMEDIATE,91.146,1.316,2025_1_BOR_30
Medium Risk,1.143666667,-1.307677770,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,31,4,INTERMEDIATE,90.446,0.616,2025_1_BOR_31
Low Risk,0.644,-1.585060143,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,32,4,INTERMEDIATE,89.83,0,2025_1_BOR_32
Low Risk,0.578,0.707106781,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,42,5,MEDIUM,84.77,0.578,2025_1_BOR_42
Low Risk,0.289,-0.707106781,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,BOR,43,5,MEDIUM,84.192,0,2025_1_BOR_43
High Risk,9.142,2.781917821,Outlier,Exclude: Statistical Outlier,2025,1,Australian Grand Prix,GAS,8,4,INTERMEDIATE,98.441,9.142,2025_1_GAS_8
High Risk,7.9525,1.667445489,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,9,4,INTERMEDIATE,96.062,6.763000000,2025_1_GAS_9
High Risk,7.377666667,1.416818042,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,10,4,INTERMEDIATE,95.527,6.228000000,2025_1_GAS_10
High Risk,6.131333333,1.030336464,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,11,4,INTERMEDIATE,94.702,5.403000000,2025_1_GAS_11
High Risk,5.519666667,0.807816767,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,12,4,INTERMEDIATE,94.227,4.928,2025_1_GAS_12
High Risk,4.769,0.361840449,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,13,4,INTERMEDIATE,93.275,3.976,2025_1_GAS_13
High Risk,4.154666667,0.166960042,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,14,4,INTERMEDIATE,92.859,3.560000000,2025_1_GAS_14
High Risk,3.660333333,0.113086852,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,15,4,INTERMEDIATE,92.744,3.445000000,2025_1_GAS_15
High Risk,3.383666667,-0.026983441,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,16,4,INTERMEDIATE,92.445,3.146000000,2025_1_GAS_16
High Risk,3.362333333,0.136978440,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,17,4,INTERMEDIATE,92.795,3.496,2025_1_GAS_17
High Risk,3.489000000,0.291102609,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,18,4,INTERMEDIATE,93.124,3.825000000,2025_1_GAS_18
High Risk,3.494666667,-0.019019578,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,19,4,INTERMEDIATE,92.462,3.163,2025_1_GAS_19
High Risk,3.338666667,-0.082262018,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,20,4,INTERMEDIATE,92.327,3.028000000,2025_1_GAS_20
High Risk,3.071666667,-0.084135868,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,21,4,INTERMEDIATE,92.323,3.024000000,2025_1_GAS_21
High Risk,3.036000000,-0.069145068,Normal,Use: Clean Lap,2025,1,Australian Grand Prix,GAS,22,4,INTERMEDIATE,92.355,3.056,2025_1_GAS_22
